"","X","Receita","Despesa","Tri","Divida","Selic","Termos"
"1",1,106363.728490919,101960.468556901,1,NA,15.0333333333333,98.4374465933333
"2",2,107463.645653701,101263.026321827,2,NA,14.2166666666667,98.6601308166667
"3",3,113022.108080138,110402.220131617,3,NA,14.3666666666667,98.5687815366667
"4",4,128975.466789994,135966.813143589,4,NA,29.3866666666667,98.5103047666667
"5",5,129102.016658697,118664.571193262,5,NA,28.65,98.6558074933333
"6",6,113803.782993431,114125.754202962,6,NA,19.6466666666667,98.6088511133333
"7",7,133016.738798721,116836.568770016,7,NA,23.8466666666667,98.5503387433333
"8",8,135555.002441616,137079.572779484,8,NA,35.5833333333333,98.6023178133333
"9",9,137025.558977339,114988.21984219,9,NA,35.71,98.5017598466667
"10",10,129804.373446095,111893.470952248,10,NA,24.3166666666667,98.2432708733333
"11",11,146221.740023477,120362.47407059,11,NA,14.4633333333333,98.0887552866667
"12",12,147330.135998683,149277.281635549,12,NA,10.5933333333333,98.1084569333333
"13",13,137868.008512152,117090.343134853,13,NA,11.01,97.9773406966667
"14",14,140067.282134094,115008.998919394,14,NA,11.8966666666667,98.00546519
"15",15,143300.95543874,128191.702898256,15,NA,9.11,97.92623647
"16",16,158266.086259111,157302.572779446,16,NA,10.3066666666667,97.8827412933333
"17",17,145234.712591872,126372.59745541,17,NA,9.13,97.9205144233333
"18",18,160044.703181704,127886.249875496,18,NA,9.26666666666667,97.9002227766667
"19",19,149937.126084558,135991.836901063,19,NA,12.1466666666667,97.9499613466667
"20",20,167496.676289951,171818.198011803,20,NA,11.56,98.0307566333333
"21",21,163877.062751505,136217.57633952,21,NA,11.34,97.9546254466667
"22",22,157887.856836769,133824.181277516,22,NA,10.6033333333333,97.8063227333333
"23",23,172022.665828856,146710.07398741,23,NA,10.42,97.84440867
"24",24,185132.529526621,180787.886942264,24,NA,10.5966666666667,97.8954518633333
"25",25,162158.047966651,127388.915832037,25,NA,9.88333333333333,97.87136841
"26",26,157720.589046784,126393.394510114,26,NA,9.44,98.0139211033333
"27",27,159199.349455898,139423.433397699,27,NA,8.75666666666667,97.9224751766667
"28",28,180807.55554778,179161.39020443,28,NA,7.22333333333333,98.00709025
"29",29,175833.889688322,139183.783826416,29,NA,9.53333333333333,98.20545705
"30",30,178247.034509883,143656.085793524,30,NA,10.3233333333333,98.2348607366667
"31",31,179135.975502897,155025.252084026,31,NA,8.97666666666667,97.8398997
"32",32,199609.660835137,192024.497862879,32,NA,9.51,97.55368805
"33",33,188037.062613495,154535.760111724,33,NA,10.8033333333333,98.0624237066667
"34",34,193391.792168169,152137.029057661,34,NA,11.7066666666667,98.1750081366667
"35",35,188491.24028875,166739.757055416,35,NA,13.45,98.0271275866667
"36",36,216531.597451061,210490.293797987,36,NA,12.7333333333333,98.0042902666667
"37",37,192934.315363976,165028.780190645,37,NA,11.75,98.2895889266667
"38",38,207602.615638461,164328.59648982,38,NA,11.4933333333333,98.1823603333333
"39",39,208689.02382404,190820.103251892,39,NA,10.84,98.10461426
"40",40,227362.338223965,225960.595490187,40,NA,10.5266666666667,98.31908925
"41",41,215723.409217975,181363.297756193,41,56.7633333333333,9.94333333333333,98.51864878
"42",42,225976.846300013,183723.169549364,42,57.7733333333333,9.05666666666667,98.4021148666667
"43",43,223340.455614632,207544.077473369,43,58.2266666666667,7.49,98.38203176
"44",44,256989.33030516,245726.201531942,44,57.14,6.92333333333333,98.36284383
"45",45,241489.383973376,187366.316886204,45,57.2166666666667,6.54333333333333,99.03658803
"46",46,244331.130795601,192723.349275169,46,55.9866666666667,6.1,98.92370351
"47",47,252809.002851992,219973.737125458,47,55.0566666666667,6.65333333333333,98.9797999066667
"48",48,256688.876023316,248762.005177504,48,55.2333333333333,7.42,98.85664622
"49",49,225352.8721914,209830.621321841,49,57.16,6.71,99.06271871
"50",50,232885.538004894,218165.077793527,50,57.3933333333333,4.98333333333333,99.14018504
"51",51,238870.860702132,243523.110367275,51,60.4433333333333,4.42,99.550059
"52",52,298531.472360431,260617.153464595,52,60.1866666666667,4.41666666666667,99.6335703533333
"53",53,254296.258272804,241452.332284289,53,58.3433333333333,3.78666666666667,99.8360951733333
"54",54,262919.035302771,237395.246201074,54,55.9333333333333,4.29333333333333,99.9883346666667
"55",55,379555.358112134,332837.120650503,55,55.1366666666667,5.89666666666667,99.99265288
"56",56,308016.830237076,273667.097443465,56,53.8133333333333,5.08,100.401323966667
"57",57,282429.547813048,244698.292341702,57,52.45,5.06666666666667,100.617215466667
"58",58,297539.728328921,254224.12576445,58,52.4066666666667,5.33,100.484553
"59",59,297243.920370203,270121.357453388,59,52.2833333333333,5.03,100.510485333333
"60",60,311653.849380974,286837.399912681,60,51.57,4.69666666666667,100.015490226667
"61",61,304319.174388796,257738.233679985,61,52.28,4.55,100.042274466667
"62",62,291751.721048776,273792.504966771,62,53.2833333333333,3.97333333333333,100.046936043333
"63",63,293969.050823234,285481.496923343,63,53.6566666666667,2.48333333333333,99.9138183633333
"64",64,323952.28203599,297263.334333252,64,54.3066666666667,1.52666666666667,99.8813781733333
"65",65,295157.481955613,269937.141699846,65,54.0033333333333,0.776666666666667,100.121330266667
"66",66,310941.781410535,294053.606476318,66,53.8,0.923333333333333,99.888237
"67",67,299760.992398856,309459.7685988,67,53.3633333333333,2.49333333333333,99.92311096
"68",68,376339.23832809,316033.138583667,68,52.45,3.72666666666667,99.87075297
"69",69,312735.814938957,297970.170657675,69,52.08,4.51,99.8008015933333
"70",70,299465.357982452,296899.664664208,70,52.2866666666667,4.51,99.7502415966667
"71",71,299619.605758451,340583.227280379,71,54.0466666666667,4.31666666666667,99.3898442566667
"72",72,326839.797401253,330652.084767778,72,55.8966666666667,4.71333333333333,99.0533930466667
"73",73,299642.268323381,295252.640349329,73,58.3166666666667,4.49333333333333,98.8625920633333
"74",74,292304.511450693,300667.183347793,74,60.0233333333333,4.64,98.6515680966667
"75",75,278241.636588954,300948.714308656,75,62.9333333333333,4.45666666666667,98.6824951166667
"76",76,292696.090248506,396741.831879103,76,64.5533333333333,3.79,98.5969950366667
"77",77,289992.331560344,309137.710570101,77,66.4866666666667,3.99666666666667,98.79220581
"78",78,270664.071252703,288917.668601835,78,67.3,5.00333333333333,99.2572453833333
"79",79,250112.115923284,315493.144052959,79,69.2833333333333,5.42,99.30513255
"80",80,301195.150011559,361125.751560084,80,70.2466666666667,6.85,99.3737793
